date,meantemp,humidity,wind_speed,meanpressure,year,month,day,meantemp_lag1,meantemp_roll_mean
2013-01-07,7.0,78.6,6.3,1020.0,2013,1,7,7.0,7.604761904857143
2013-01-08,8.857142857,63.71428571,7.142857143,1018.714286,2013,1,8,7.0,7.441496598714286
2013-01-09,14.0,51.25,12.5,1017.0,2013,1,9,8.857142857,8.384353741571429
2013-01-10,11.0,62.0,7.4,1015.666667,2013,1,10,14.0,8.931972789142858
2013-01-11,15.71428571,51.28571429,10.57142857,1016.142857,2013,1,11,11.0,9.938775509571428
2013-01-12,14.0,74.0,13.22857143,1015.571429,2013,1,12,15.71428571,11.08163265242857
2013-01-13,15.83333333,75.16666667,4.633333333,1013.333333,2013,1,13,14.0,12.343537413857144
2013-01-14,12.83333333,88.16666667,0.616666667,1015.166667,2013,1,14,15.83333333,13.176870746714286
2013-01-15,14.71428571,71.85714286,0.528571429,1015.857143,2013,1,15,12.83333333,14.013605440000001
2013-01-16,13.83333333,86.66666667,0.0,1016.666667,2013,1,16,14.71428571,13.989795915714286
2013-01-17,16.5,80.83333333,5.25,1015.833333,2013,1,17,13.83333333,14.775510201428572
2013-01-18,13.83333333,92.16666667,8.95,1014.5,2013,1,18,16.5,14.50680271857143
2013-01-19,12.5,76.66666667,5.883333333,1021.666667,2013,1,19,13.83333333,14.292517004285715
2013-01-20,11.28571429,75.28571429,8.471428571,1020.285714,2013,1,20,12.5,13.642857141428573
2013-01-21,11.2,77.0,2.22,1021.0,2013,1,21,11.28571429,13.409523808571427
2013-01-22,9.5,79.66666667,3.083333333,1021.8,2013,1,22,11.2,12.664625850000002
2013-01-23,14.0,60.16666667,4.016666667,1020.5,2013,1,23,9.5,12.688435374285714
2013-01-24,13.83333333,60.66666667,6.166666667,1020.5,2013,1,24,14.0,12.307482992857143
2013-01-25,12.25,67.0,5.55,1020.75,2013,1,25,13.83333333,12.081292517142856
2013-01-26,12.66666667,64.16666667,6.8,1019.666667,2013,1,26,12.25,12.105102041428571
2013-01-27,12.85714286,65.57142857,5.557142857,1018.142857,2013,1,27,12.66666667,12.329591837142857
